author,candidato,circulation,date_published,source,title,url
Bruno Alfano,Freixo,,2016-10-18T06:01:00-02:00,extra,Eleições 2016: clima nas campanhas é de guerra declarada,http://extra.globo.com/noticias/rio/eleicoes-2016-clima-nas-campanhas-de-guerra-declarada-20306192.html
,Freixo,,2016-10-18T05:00:00-02:00,otempo,Dia 18 de outubro de 2016,http://www.otempo.com.br/hotsites/aparte/dia-18-de-outubro-de-2016-1.1386822
,Freixo,,2016-10-17T16:31:00-02:00,jb,Presidente regional do PSDB anuncia apoio a Marcelo Crivella,http://www.jb.com.br/eleicoes-2016-rio/noticias/2016/10/17/presidente-regional-do-psdb-anuncia-apoio-a-marcelo-crivella/
Alessandro Ferreira,Freixo,,2016-10-17T14:29:00-02:00,globo_g1,Presidente do PSDB-RJ anuncia voto em Crivella e veto ao PSOL,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/presidente-do-psdb-rj-anuncia-voto-em-crivella-e-veto-ao-psol.html
Miguel Caballero - O Globo,Freixo,,2016-10-17T14:20:00-02:00,extra,Freixo promete cortar dez secretarias da prefeitura do Rio,http://extra.globo.com/noticias/brasil/freixo-promete-cortar-dez-secretarias-da-prefeitura-do-rio-20302390.html
,Freixo,,2016-10-17T14:12:00-02:00,dci,Crivella minimiza declarações em livro e afirma que 'amadureceu',http://www.dci.com.br/politica/crivella-minimiza-declaracoes-em-livro-e-afirma-que-amadureceu-id581296.html
,Freixo,,2016-10-17T13:25:00-02:00,dci,Presidente do PSDB do Rio anuncia apoio a Crivella,http://www.dci.com.br/politica/presidente-do-psdb-do-rio-anuncia-apoio-a-crivella-id581290.html
,Freixo,,2016-10-17T12:59:00-02:00,jb,PRE/RJ pede apurações contra Freixo e dirigentes da UFRJ,http://www.jb.com.br/eleicoes-2016-rio/noticias/2016/10/17/prerj-pede-apuracoes-contra-freixo-e-dirigentes-da-ufrj/
,Freixo,,2016-10-17T12:00:02-02:00,odia,Candidatos vão à caça de votos a 15 dias do 2º turno,http://odia.ig.com.br/rio-de-janeiro/2016-10-17/candidatos-vao-a-caca-de-votos-a-15-dias-do-2-turno.html
,Freixo,,2016-10-17T09:40:00-02:00,globo_g1,G1 e RJTV entrevistam candidatos a prefeito do Rio no 2º turno ao vivo,http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/g1-e-rjtv-entrevistam-candidatos-prefeito-do-rio-no-2-turno-ao-vivo.html
,Freixo,,2016-10-17T07:10:00-02:00,dci,Freixo se diz vítima da 'política com terror',http://www.dci.com.br/politica/freixo-se-diz-vitima-da-politica-com-terror-id581198.html
,Freixo,,2016-10-17T07:10:00-02:00,dci,Crivella afirma que Freixo apoia black blocs,http://www.dci.com.br/politica/crivella-afirma-que-freixo-apoia-black-blocs-id581197.html
,Freixo,,2016-10-17T06:00:00-02:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo nesta segunda (17),http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-nesta-segunda-17.html
"Gustavo Schmitt,Vera Araújo - O Globo",Freixo,,2016-10-17T04:30:00-02:00,extra,Entidades reagem às afirmações de Crivella,http://extra.globo.com/noticias/brasil/entidades-reagem-as-afirmacoes-de-crivella-20300089.html
,Freixo,,2016-10-16T19:24:00-02:00,otempo,Paes tira fotos com eleitores do Freixo e viraliza nas redes sociais,http://www.otempo.com.br/capa/pol%C3%ADtica/paes-tira-fotos-com-eleitores-do-freixo-e-viraliza-nas-redes-sociais-1.1386252
,Freixo,,2016-10-16T19:01:00-02:00,odia,Fotos de Paes com eleitores de Freixo viralizam nas redes sociais,http://odia.ig.com.br/rio-de-janeiro/2016-10-16/fotos-de-paes-com-eleitores-de-freixo-viralizam-nas-redes-sociais.html
,Freixo,,2016-10-16T17:25:00-02:00,dci,Fotos de Paes com eleitores de Freixo viralizam nas redes sociais,http://www.dci.com.br/politica/fotos-de-paes-com-eleitores-de-freixo-viralizam-nas-redes-sociais-id581093.html
,Freixo,,2016-10-16T17:04:00-02:00,jb,Eduardo Paes tira fotos com eleitores de Marcelo Freixo,http://www.jb.com.br/rio/noticias/2016/10/16/eduardo-paes-tira-fotos-com-eleitores-de-marcelo-freixo/
,Freixo,,2016-10-16T17:04:00-02:00,jb,,http://m.jb.com.br/rio/noticias/2016/10/16/eduardo-paes-tira-fotos-com-eleitores-de-marcelo-freixo/
,Freixo,,2016-10-16T12:00:05-02:00,odia,Retomar obras da Transbrasil deve ser prioridade do próximo prefeito,http://odia.ig.com.br/rio-de-janeiro/observatorio/2016-10-16/retomar-obras-da-transbrasil-deve-ser-prioridade-do-proximo-prefeito.html
,Freixo,,2016-10-16T12:00:05-02:00,odia,Agenda de Crivella e Freixo destaca pauta ambiental,http://odia.ig.com.br/rio-de-janeiro/2016-10-16/agenda-de-crivella-e-freixo-destaca-pauta-ambiental.html
,Freixo,,2016-10-16T12:00:05-02:00,odia,Luciana Boiteux quer ser 'coprefeita' de Marcelo Freixo,http://odia.ig.com.br/rio-de-janeiro/2016-10-16/luciana-boiteux-quer-ser-coprefeita-de-marcelo-freixo.html
,Freixo,,2016-10-16T12:00:05-02:00,odia,Crivella e Freixo respondem às perguntas feitas pelo adversário,http://odia.ig.com.br/rio-de-janeiro/2016-10-16/crivella-e-freixo-respondem-as-perguntas-feitas-pelo-adversario.html
THAIS LAZZERI,Freixo,,2016-10-16T10:00:00-02:00,epoca,Do megafone para o plenário: ativistas no Parlamento,http://epoca.globo.com/tempo/noticia/2016/10/do-megafone-para-o-plenario-ativistas-no-parlamento.html
,Freixo,,2016-10-16T07:35:00-02:00,globo_g1,Veja as agendas de Marcelo Crivella e Marcelo Freixo neste domingo (16),http://g1.globo.com/rio-de-janeiro/eleicoes/2016/noticia/2016/10/veja-agendas-de-marcelo-crivella-e-marcelo-freixo-neste-domingo-16.html
Fernanda Krakovics - O Globo,Freixo,,2016-10-16T04:30:00-02:00,extra,Mulher de Freixo prefere ser chamada de ‘primeira-companheira’,http://extra.globo.com/noticias/brasil/mulher-de-freixo-prefere-ser-chamada-de-primeira-companheira-20297162.html
O Globo,Freixo,,2016-10-16T04:30:00-02:00,extra,Programa do PSOL inclui a criação de um banco municipal,http://extra.globo.com/noticias/brasil/programa-do-psol-inclui-criacao-de-um-banco-municipal-20296950.html
Miguel Caballero - O Globo,Freixo,,2016-10-16T04:30:00-02:00,extra,Freixo não explica como financiar propostas,http://extra.globo.com/noticias/brasil/freixo-nao-explica-como-financiar-propostas-20296933.html
